Марка,Модель,Мощность,Топливо,Цена,Год производства,Пробег,Коробка,Кузов,Привод,Цвет
Chevrolet,Cruze I,109,Бензин,379000,2011,131000,автомат,седан,передний,чёрный
Chevrolet,Aveo I Рестайлинг,72,Бензин,170000,2006,223845,механика,седан,передний,серый
Chevrolet,Cruze I Рестайлинг,141,Бензин,580000,2013,155000,автомат,универсал 5 дв.,передний,белый
Chevrolet,Lacetti,109,Бензин,308000,2011,115000,механика,хэтчбек 5 дв.,передний,голубой
Chevrolet,Lacetti,94,Бензин,205000,2008,199000,механика,седан,передний,синий
Chevrolet,Cruze I,141,Бензин,650000,2012,6900,автомат,седан,передний,серый
Chevrolet,Niva I Рестайлинг,80,Бензин,269000,2013,117292,механика,внедорожник 5 дв.,полный,зелёный
Chevrolet,Niva I Рестайлинг,80,Бензин,449000,2014,31700,механика,внедорожник 5 дв.,полный,серебристый
Chevrolet,Cruze I,141,Бензин,375000,2011,99900,механика,седан,передний,чёрный
Chevrolet,Epica I,143,Бензин,359000,2009,88572,механика,седан,передний,красный
Chevrolet,Aveo II,115,Бензин,379000,2012,107792,автомат,седан,передний,чёрный
Chevrolet,Cruze I,141,Бензин,435000,2012,123023,автомат,седан,передний,серый
Chevrolet,Aveo II,115,Бензин,390000,2012,61317,автомат,хэтчбек 5 дв.,передний,белый
Chevrolet,Cruze I Рестайлинг,141,Бензин,477000,2013,88754,механика,седан,передний,коричневый
Chevrolet,Captiva I,136,Бензин,400000,2007,176000,автомат,внедорожник 5 дв.,полный,серебристый
Chevrolet,Lanos I,86,Бензин,115000,2008,73000,механика,седан,передний,серебристый
Chevrolet,Lacetti,109,Бензин,299000,2011,175000,механика,универсал 5 дв.,передний,чёрный
Chevrolet,Niva I Рестайлинг,80,Бензин,475000,2015,77243,механика,внедорожник 5 дв.,полный,синий
Chevrolet,Aveo II,115,Бензин,322070,2012,120500,автомат,седан,передний,белый
Chevrolet,Lacetti,109,Бензин,265000,2008,113100,автомат,седан,передний,серебристый
Chevrolet,Lacetti,109,Бензин,249000,2007,150000,механика,седан,передний,синий
Chevrolet,Cruze I,109,Бензин,299000,2011,215000,механика,седан,передний,белый
Chevrolet,Tracker II,156,Бензин,370000,2002,190000,автомат,внедорожник 5 дв.,полный,белый
Chevrolet,Niva I Рестайлинг,80,Бензин,269000,2010,80000,механика,внедорожник 5 дв.,полный,коричневый
Chevrolet,Niva I Рестайлинг,80,Бензин,409000,2015,117537,механика,внедорожник 5 дв.,полный,чёрный
Chevrolet,Aveo II,115,Бензин,359000,2014,111557,механика,седан,передний,серый
Chevrolet,Captiva I,136,Бензин,460000,2009,182275,автомат,внедорожник 5 дв.,полный,чёрный
Chevrolet,Cruze I Рестайлинг,141,Бензин,439000,2013,149786,автомат,седан,передний,серый
Chevrolet,Epica I Рестайлинг,143,Бензин,429000,2010,72350,автомат,седан,передний,чёрный
Chevrolet,Cruze I Рестайлинг,109,Бензин,445000,2014,112000,автомат,седан,передний,белый
Chevrolet,Aveo II,115,Бензин,450000,2014,95169,автомат,седан,передний,серый
Chevrolet,Cruze I,109,Бензин,379000,2010,151656,автомат,седан,передний,серебристый
Chevrolet,Cruze I,109,Бензин,390000,2011,93199,автомат,седан,передний,белый
Chevrolet,Spark III,67,Бензин,370000,2011,64000,автомат,хэтчбек 5 дв.,передний,зелёный
Chevrolet,Aveo I,72,Бензин,140000,2005,120000,механика,хэтчбек 5 дв.,передний,голубой
Chevrolet,Spark III,67,Бензин,300000,2011,65000,механика,хэтчбек 5 дв.,передний,белый
Chevrolet,Aveo II,115,Бензин,339000,2012,86230,механика,седан,передний,белый
Chevrolet,Aveo II,115,Бензин,339000,2012,86230,механика,седан,передний,белый
Chevrolet,Cruze I Рестайлинг,141,Бензин,460000,2013,120000,автомат,седан,передний,чёрный
Chevrolet,Lacetti,109,Бензин,245000,2008,133000,автомат,хэтчбек 5 дв.,передний,серебристый
Chevrolet,Lanos I,86,Бензин,80000,2007,195000,механика,седан,передний,синий
Chevrolet,Lanos I,86,Бензин,75000,2007,135000,механика,седан,передний,красный
Chevrolet,Cobalt II,105,Бензин,299000,2013,191800,автомат,седан,передний,серый
Chevrolet,Niva I Рестайлинг,80,Бензин,480000,2017,36000,механика,внедорожник 5 дв.,полный,зелёный
